origin_id,destination_id,trips_person,intrazonal_factor,mc_distance_m,mc2_distance_m,sense_code,checkpoint_is_directional,cap_M,cap_A,cap_B,cap_CU,cap_CAI,cap_CAII,cap_total,fa,focup_M,focup_A,focup_B,focup_CU,focup_CAI,focup_CAII,share_M,share_A,share_B,share_CU,share_CAI,share_CAII,veh_M,veh_A,veh_B,veh_CU,veh_CAI,veh_CAII,veh_total,congruence_id,_cap_missing_or_zero,_fa_missing_or_zero,_cong_is_4
1002,1001,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1325,1001,28.36,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1348,1001,16.7,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1350,1001,11.52,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
211,1001,12.1,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1131,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1266,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1286,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1293,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1325,1002,23.98,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1327,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1330,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1331,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1348,1002,26.25,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
1350,1002,12.81,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
211,1002,1.0,0,0.0,0.0,0,False,776.0,15060.0,251.0,1443.0,234.0,100.0,17864.0,1.002,1.0,2.47,20.0,1.573,1.359,1.518,0.0434393193013882,0.8430362740707569,0.0140506045678459,0.0807769816390506,0.0130989699955217,0.0055978504254366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,False,False,True
