start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips
2025-09-04,2025-09-11,2025-09-04,1,25,1,25,<10
2025-09-04,2025-09-11,2025-09-04,1,25,105,135,<10
2025-09-04,2025-09-11,2025-09-04,1,25,106,130,10.12
2025-09-04,2025-09-11,2025-09-04,1,25,112,144,<10
2025-09-04,2025-09-11,2025-09-04,1,25,113,142,<10
2025-09-04,2025-09-11,2025-09-04,1,25,119,115,10.89
2025-09-04,2025-09-11,2025-09-04,1,25,134,127,<10
2025-09-04,2025-09-11,2025-09-04,1,25,135,132,<10
2025-09-04,2025-09-11,2025-09-04,1,25,136,143,<10
2025-09-04,2025-09-11,2025-09-04,1,25,137,137,17.97
2025-09-04,2025-09-11,2025-09-04,1,25,141,139,<10
2025-09-04,2025-09-11,2025-09-04,1,25,143,138,<10
2025-09-04,2025-09-11,2025-09-04,1,25,144,128,<10
2025-09-04,2025-09-11,2025-09-04,1,25,145,141,<10
2025-09-04,2025-09-11,2025-09-04,1,25,15,24B,12.93
2025-09-04,2025-09-11,2025-09-04,1,25,151,129,36.98
2025-09-04,2025-09-11,2025-09-04,1,25,33,21A,12.06
2025-09-04,2025-09-11,2025-09-04,1,25,4,108,<10
2025-09-04,2025-09-11,2025-09-04,1,25,49,08,<10
2025-09-04,2025-09-11,2025-09-04,1,25,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,52,07,69.05
2025-09-04,2025-09-11,2025-09-04,1,25,53,21B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,54,70B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,55,02F,<10
2025-09-04,2025-09-11,2025-09-04,1,25,59,49F,<10
2025-09-04,2025-09-11,2025-09-04,1,25,62,23,19.44
2025-09-04,2025-09-11,2025-09-04,1,25,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,1,25,66,20,<10
2025-09-04,2025-09-11,2025-09-04,1,25,67,18,72.4
2025-09-04,2025-09-11,2025-09-04,1,25,73,13,10.69
2025-09-04,2025-09-11,2025-09-04,1,25,76,60,12.59
2025-09-04,2025-09-11,2025-09-04,1,25,78,52,13.06
2025-09-04,2025-09-11,2025-09-04,1,25,80,45,<10
2025-09-04,2025-09-11,2025-09-04,1,25,81,42,45.41
2025-09-04,2025-09-11,2025-09-04,1,25,82,43,<10
2025-09-04,2025-09-11,2025-09-04,1,25,83,34,11.83
2025-09-04,2025-09-11,2025-09-04,1,25,84,41,<10
2025-09-04,2025-09-11,2025-09-04,1,25,86,32,<10
2025-09-04,2025-09-11,2025-09-04,1,25,87,X29F,<10
2025-09-04,2025-09-11,2025-09-04,1,25,89,35,<10
2025-09-04,2025-09-11,2025-09-04,1,25,90,03,<10
2025-09-04,2025-09-11,2025-09-04,1,25,92,37F,<10
2025-09-04,2025-09-11,2025-09-04,1,25,94,06A,48.58
2025-09-04,2025-09-11,2025-09-04,1,25,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,99,65A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,100,68A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,105,135,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,106,130,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,108,126,15.39
2025-09-04,2025-09-11,2025-09-04,100,68A,109,136,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,115,145,10.71
2025-09-04,2025-09-11,2025-09-04,100,68A,116,146,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,135,132,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,136,143,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,137,137,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,138,140,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,141,139,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,142,131,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,143,138,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,144,128,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,147,54,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,151,129,23.75
2025-09-04,2025-09-11,2025-09-04,100,68A,33,21A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,39,122,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,44,150,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,49,08,11.73
2025-09-04,2025-09-11,2025-09-04,100,68A,50,09,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,51,06B,19.53
2025-09-04,2025-09-11,2025-09-04,100,68A,52,07,68.18
2025-09-04,2025-09-11,2025-09-04,100,68A,53,21B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,54,70B,12.0
2025-09-04,2025-09-11,2025-09-04,100,68A,55,02F,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,56,69A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,58,01,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,64,40,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,66,20,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,67,18,92.96
2025-09-04,2025-09-11,2025-09-04,100,68A,68,16,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,73,13,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,74,38,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,76,60,10.96
2025-09-04,2025-09-11,2025-09-04,100,68A,78,52,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,79,44,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,80,45,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,81,42,22.98
2025-09-04,2025-09-11,2025-09-04,100,68A,82,43,15.58
2025-09-04,2025-09-11,2025-09-04,100,68A,83,34,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,84,41,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,85,30F,12.17
2025-09-04,2025-09-11,2025-09-04,100,68A,86,32,11.65
2025-09-04,2025-09-11,2025-09-04,100,68A,87,X29F,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,89,35,32.82
2025-09-04,2025-09-11,2025-09-04,100,68A,91,04,10.98
2025-09-04,2025-09-11,2025-09-04,100,68A,92,37F,13.04
2025-09-04,2025-09-11,2025-09-04,100,68A,93,Aeropuerto,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,94,06A,136.93
2025-09-04,2025-09-11,2025-09-04,100,68A,95,70A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,97,05,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,104,61,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,52,07,12.53
2025-09-04,2025-09-11,2025-09-04,101,X63F,67,18,17.92
2025-09-04,2025-09-11,2025-09-04,101,X63F,73,13,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,81,42,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,83,34,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,86,32,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,89,35,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,92,37F,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,101,X63F,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,100,68A,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,102,63B,133.26
2025-09-04,2025-09-11,2025-09-04,102,63B,103,29F,12.5
2025-09-04,2025-09-11,2025-09-04,102,63B,104,61,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,105,135,20.92
2025-09-04,2025-09-11,2025-09-04,102,63B,106,130,112.21
2025-09-04,2025-09-11,2025-09-04,102,63B,107,134,14.68
2025-09-04,2025-09-11,2025-09-04,102,63B,108,126,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,109,136,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,112,144,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,113,142,32.76
2025-09-04,2025-09-11,2025-09-04,102,63B,114,14F,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,115,145,30.08
2025-09-04,2025-09-11,2025-09-04,102,63B,116,146,26.08
2025-09-04,2025-09-11,2025-09-04,102,63B,117,123,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,121,133,22.49
2025-09-04,2025-09-11,2025-09-04,102,63B,123,147,14.52
2025-09-04,2025-09-11,2025-09-04,102,63B,126,114,<10
