start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips
2025-09-04,2025-09-11,2025-09-04,102,63B,56,69A,26.11
2025-09-04,2025-09-11,2025-09-04,102,63B,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,67,18,22.27
2025-09-04,2025-09-11,2025-09-04,102,63B,68,16,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,69,17,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,75,57,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,77,46F,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,78,52,15.31
2025-09-04,2025-09-11,2025-09-04,102,63B,79,44,11.8
2025-09-04,2025-09-11,2025-09-04,102,63B,81,42,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,82,43,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,83,34,11.69
2025-09-04,2025-09-11,2025-09-04,102,63B,86,32,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,88,26,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,89,35,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,90,03,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,92,37F,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,93,Aeropuerto,10.42
2025-09-04,2025-09-11,2025-09-04,102,63B,94,06A,27.18
2025-09-04,2025-09-11,2025-09-04,102,63B,96,69B,26.36
2025-09-04,2025-09-11,2025-09-04,102,63B,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,102,63B,99,65A,28.92
2025-09-04,2025-09-11,2025-09-04,103,29F,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,33,21A,15.17
2025-09-04,2025-09-11,2025-09-04,103,29F,40,149,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,53,21B,21.15
2025-09-04,2025-09-11,2025-09-04,103,29F,54,70B,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,56,69A,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,61,X4F,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,67,18,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,76,60,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,94,06A,12.57
2025-09-04,2025-09-11,2025-09-04,103,29F,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,103,29F,99,65A,10.33
2025-09-04,2025-09-11,2025-09-04,104,61,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,104,61,104,61,21.05
2025-09-04,2025-09-11,2025-09-04,104,61,107,134,<10
2025-09-04,2025-09-11,2025-09-04,104,61,135,132,<10
2025-09-04,2025-09-11,2025-09-04,104,61,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,104,61,151,129,<10
2025-09-04,2025-09-11,2025-09-04,104,61,33,21A,<10
2025-09-04,2025-09-11,2025-09-04,104,61,40,149,<10
2025-09-04,2025-09-11,2025-09-04,104,61,52,07,<10
2025-09-04,2025-09-11,2025-09-04,104,61,53,21B,46.73
2025-09-04,2025-09-11,2025-09-04,104,61,54,70B,11.54
2025-09-04,2025-09-11,2025-09-04,104,61,56,69A,<10
2025-09-04,2025-09-11,2025-09-04,104,61,67,18,<10
2025-09-04,2025-09-11,2025-09-04,104,61,70,12F,<10
2025-09-04,2025-09-11,2025-09-04,104,61,77,46F,11.87
2025-09-04,2025-09-11,2025-09-04,104,61,81,42,<10
2025-09-04,2025-09-11,2025-09-04,104,61,88,26,<10
2025-09-04,2025-09-11,2025-09-04,104,61,89,35,<10
2025-09-04,2025-09-11,2025-09-04,104,61,92,37F,<10
2025-09-04,2025-09-11,2025-09-04,104,61,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,104,61,95,70A,<10
2025-09-04,2025-09-11,2025-09-04,104,61,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,104,61,97,05,10.26
2025-09-04,2025-09-11,2025-09-04,104,61,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,105,135,100,68A,<10
2025-09-04,2025-09-11,2025-09-04,105,135,102,63B,14.04
2025-09-04,2025-09-11,2025-09-04,105,135,105,135,47.74
2025-09-04,2025-09-11,2025-09-04,105,135,106,130,13.09
2025-09-04,2025-09-11,2025-09-04,105,135,108,126,<10
2025-09-04,2025-09-11,2025-09-04,105,135,109,136,<10
2025-09-04,2025-09-11,2025-09-04,105,135,113,142,<10
2025-09-04,2025-09-11,2025-09-04,105,135,115,145,<10
2025-09-04,2025-09-11,2025-09-04,105,135,134,127,<10
2025-09-04,2025-09-11,2025-09-04,105,135,135,132,14.92
2025-09-04,2025-09-11,2025-09-04,105,135,136,143,15.75
2025-09-04,2025-09-11,2025-09-04,105,135,137,137,15.09
2025-09-04,2025-09-11,2025-09-04,105,135,141,139,<10
2025-09-04,2025-09-11,2025-09-04,105,135,143,138,<10
2025-09-04,2025-09-11,2025-09-04,105,135,15,24B,16.73
2025-09-04,2025-09-11,2025-09-04,105,135,151,129,10.73
2025-09-04,2025-09-11,2025-09-04,105,135,33,21A,12.8
2025-09-04,2025-09-11,2025-09-04,105,135,4,108,<10
2025-09-04,2025-09-11,2025-09-04,105,135,49,08,<10
2025-09-04,2025-09-11,2025-09-04,105,135,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,105,135,52,07,<10
2025-09-04,2025-09-11,2025-09-04,105,135,53,21B,31.81
2025-09-04,2025-09-11,2025-09-04,105,135,54,70B,19.09
2025-09-04,2025-09-11,2025-09-04,105,135,56,69A,<10
2025-09-04,2025-09-11,2025-09-04,105,135,67,18,19.82
2025-09-04,2025-09-11,2025-09-04,105,135,68,16,<10
2025-09-04,2025-09-11,2025-09-04,105,135,81,42,<10
2025-09-04,2025-09-11,2025-09-04,105,135,82,43,<10
2025-09-04,2025-09-11,2025-09-04,105,135,85,30F,<10
2025-09-04,2025-09-11,2025-09-04,105,135,86,32,<10
2025-09-04,2025-09-11,2025-09-04,105,135,93,Aeropuerto,<10
2025-09-04,2025-09-11,2025-09-04,105,135,94,06A,21.02
2025-09-04,2025-09-11,2025-09-04,105,135,95,70A,<10
2025-09-04,2025-09-11,2025-09-04,105,135,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,105,135,98,68B,<10
2025-09-04,2025-09-11,2025-09-04,106,130,1,25,12.33
2025-09-04,2025-09-11,2025-09-04,106,130,100,68A,<10
2025-09-04,2025-09-11,2025-09-04,106,130,101,X63F,<10
2025-09-04,2025-09-11,2025-09-04,106,130,102,63B,115.79
2025-09-04,2025-09-11,2025-09-04,106,130,104,61,18.99
2025-09-04,2025-09-11,2025-09-04,106,130,105,135,242.44
2025-09-04,2025-09-11,2025-09-04,106,130,106,130,34.34
2025-09-04,2025-09-11,2025-09-04,106,130,107,134,172.6
2025-09-04,2025-09-11,2025-09-04,106,130,109,136,278.75
2025-09-04,2025-09-11,2025-09-04,106,130,113,142,<10
2025-09-04,2025-09-11,2025-09-04,106,130,114,14F,<10
2025-09-04,2025-09-11,2025-09-04,106,130,115,145,101.92
2025-09-04,2025-09-11,2025-09-04,106,130,116,146,<10
2025-09-04,2025-09-11,2025-09-04,106,130,117,123,<10
2025-09-04,2025-09-11,2025-09-04,106,130,119,115,25.61
2025-09-04,2025-09-11,2025-09-04,106,130,120,118,<10
2025-09-04,2025-09-11,2025-09-04,106,130,122,119,<10
2025-09-04,2025-09-11,2025-09-04,106,130,132,125,12.58
2025-09-04,2025-09-11,2025-09-04,106,130,136,143,<10
2025-09-04,2025-09-11,2025-09-04,106,130,137,137,11.49
2025-09-04,2025-09-11,2025-09-04,106,130,140,121,17.97
2025-09-04,2025-09-11,2025-09-04,106,130,144,128,96.85
2025-09-04,2025-09-11,2025-09-04,106,130,145,141,<10
2025-09-04,2025-09-11,2025-09-04,106,130,15,24B,72.81
2025-09-04,2025-09-11,2025-09-04,106,130,151,129,19.23
2025-09-04,2025-09-11,2025-09-04,106,130,3,30,10.87
2025-09-04,2025-09-11,2025-09-04,106,130,33,21A,135.43
2025-09-04,2025-09-11,2025-09-04,106,130,39,122,<10
2025-09-04,2025-09-11,2025-09-04,106,130,40,149,<10
2025-09-04,2025-09-11,2025-09-04,106,130,50,09,<10
2025-09-04,2025-09-11,2025-09-04,106,130,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,106,130,52,07,18.73
2025-09-04,2025-09-11,2025-09-04,106,130,53,21B,377.0
2025-09-04,2025-09-11,2025-09-04,106,130,54,70B,87.8
2025-09-04,2025-09-11,2025-09-04,106,130,55,02F,<10
2025-09-04,2025-09-11,2025-09-04,106,130,56,69A,123.28
2025-09-04,2025-09-11,2025-09-04,106,130,61,X4F,<10
2025-09-04,2025-09-11,2025-09-04,106,130,62,23,<10
2025-09-04,2025-09-11,2025-09-04,106,130,63,22,<10
2025-09-04,2025-09-11,2025-09-04,106,130,65,24A,46.32
2025-09-04,2025-09-11,2025-09-04,106,130,67,18,<10
2025-09-04,2025-09-11,2025-09-04,106,130,69,17,<10
2025-09-04,2025-09-11,2025-09-04,106,130,70,12F,115.95
2025-09-04,2025-09-11,2025-09-04,106,130,72,15,<10
2025-09-04,2025-09-11,2025-09-04,106,130,75,57,<10
2025-09-04,2025-09-11,2025-09-04,106,130,78,52,10.01
2025-09-04,2025-09-11,2025-09-04,106,130,79,44,<10
2025-09-04,2025-09-11,2025-09-04,106,130,82,43,24.32
2025-09-04,2025-09-11,2025-09-04,106,130,83,34,<10
2025-09-04,2025-09-11,2025-09-04,106,130,85,30F,18.41
2025-09-04,2025-09-11,2025-09-04,106,130,86,32,<10
2025-09-04,2025-09-11,2025-09-04,106,130,88,26,13.43
2025-09-04,2025-09-11,2025-09-04,106,130,90,03,<10
2025-09-04,2025-09-11,2025-09-04,106,130,94,06A,93.84
2025-09-04,2025-09-11,2025-09-04,106,130,95,70A,<10
2025-09-04,2025-09-11,2025-09-04,106,130,96,69B,127.74
2025-09-04,2025-09-11,2025-09-04,106,130,97,05,<10
2025-09-04,2025-09-11,2025-09-04,106,130,98,68B,39.57
2025-09-04,2025-09-11,2025-09-04,106,130,99,65A,53.78
2025-09-04,2025-09-11,2025-09-04,107,134,100,68A,<10
2025-09-04,2025-09-11,2025-09-04,107,134,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,107,134,105,135,<10
2025-09-04,2025-09-11,2025-09-04,107,134,106,130,117.96
2025-09-04,2025-09-11,2025-09-04,107,134,107,134,72.73
2025-09-04,2025-09-11,2025-09-04,107,134,109,136,<10
2025-09-04,2025-09-11,2025-09-04,107,134,113,142,<10
2025-09-04,2025-09-11,2025-09-04,107,134,115,145,<10
2025-09-04,2025-09-11,2025-09-04,107,134,116,146,<10
2025-09-04,2025-09-11,2025-09-04,107,134,132,125,<10
2025-09-04,2025-09-11,2025-09-04,107,134,134,127,32.73
2025-09-04,2025-09-11,2025-09-04,107,134,135,132,<10
2025-09-04,2025-09-11,2025-09-04,107,134,136,143,47.19
2025-09-04,2025-09-11,2025-09-04,107,134,137,137,95.12
2025-09-04,2025-09-11,2025-09-04,107,134,141,139,15.85
2025-09-04,2025-09-11,2025-09-04,107,134,142,131,<10
2025-09-04,2025-09-11,2025-09-04,107,134,143,138,16.51
2025-09-04,2025-09-11,2025-09-04,107,134,145,141,<10
2025-09-04,2025-09-11,2025-09-04,107,134,149,112,<10
2025-09-04,2025-09-11,2025-09-04,107,134,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,107,134,151,129,11.27
2025-09-04,2025-09-11,2025-09-04,107,134,33,21A,21.22
2025-09-04,2025-09-11,2025-09-04,107,134,49,08,<10
2025-09-04,2025-09-11,2025-09-04,107,134,51,06B,11.5
2025-09-04,2025-09-11,2025-09-04,107,134,52,07,<10
2025-09-04,2025-09-11,2025-09-04,107,134,53,21B,21.95
2025-09-04,2025-09-11,2025-09-04,107,134,54,70B,<10
2025-09-04,2025-09-11,2025-09-04,107,134,55,02F,<10
2025-09-04,2025-09-11,2025-09-04,107,134,56,69A,<10
2025-09-04,2025-09-11,2025-09-04,107,134,61,X4F,10.31
2025-09-04,2025-09-11,2025-09-04,107,134,66,20,<10
